                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91628,                0.96258,                 1.1344,                0.65035,                0.75792,                0.72967,                0.55158,                0.90094,                 1.0998,                 1.1104,               0.006634,               0.006634,               0.006634
                     36,                0.93317,                0.92194,                  1.131,                0.66193,                0.72751,                 0.7196,                0.53865,                 0.9023,                 1.1113,                 1.1244,               0.006535,               0.006535,               0.006535
                     37,                 0.8988,                0.90736,                 1.1251,                0.57932,                0.60853,                0.65313,                 0.4778,                0.92841,                 1.3309,                 1.1539,               0.006436,               0.006436,               0.006436
                     38,                0.93091,                0.91181,                 1.1431,                0.67912,                0.62425,                0.67591,                0.50388,                0.92918,                  1.233,                 1.1455,               0.006337,               0.006337,               0.006337
                     39,                0.90114,                0.88517,                 1.1295,                0.63012,                0.69314,                0.69979,                 0.5293,                0.89503,                  1.123,                 1.1319,               0.006238,               0.006238,               0.006238
                     40,                 0.9368,                0.93097,                  1.169,                0.65912,                0.67782,                0.67709,                0.50839,                 0.9164,                 1.1452,                 1.1195,               0.006139,               0.006139,               0.006139
                     41,                0.86409,                0.86924,                 1.0901,                0.67268,                0.63019,                0.67933,                0.51778,                0.90361,                 1.2481,                 1.0918,                0.00604,                0.00604,                0.00604
                     42,                0.87543,                0.82576,                 1.0996,                0.72641,                0.61862,                0.70079,                 0.5325,                0.89543,                 1.2051,                 1.1075,               0.005941,               0.005941,               0.005941
                     43,                0.89635,                 0.8939,                  1.113,                0.71296,                0.67798,                0.72719,                0.54984,                0.88849,                 1.1465,                 1.1078,               0.005842,               0.005842,               0.005842
                     44,                0.88267,                0.81803,                 1.1104,                0.64628,                 0.7424,                0.73639,                0.56592,                0.88431,                 1.0854,                 1.1074,               0.005743,               0.005743,               0.005743
                     45,                 0.8592,                0.79844,                 1.0813,                0.73942,                0.65892,                0.72274,                0.55449,                0.87945,                 1.0655,                 1.1078,               0.005644,               0.005644,               0.005644
                     46,                0.90391,                0.87859,                 1.1203,                0.67102,                0.70775,                0.71793,                 0.5276,                0.93172,                 1.1483,                 1.1527,               0.005545,               0.005545,               0.005545
                     47,                0.85585,                0.81084,                  1.089,                0.61867,                0.75361,                0.70161,                0.53443,                0.89073,                 1.1521,                 1.1359,               0.005446,               0.005446,               0.005446
                     48,                0.86155,                0.77651,                 1.0896,                0.74507,                 0.6549,                0.72926,                0.55773,                0.87849,                 1.1457,                 1.1233,               0.005347,               0.005347,               0.005347
                     49,                0.83725,                0.78441,                 1.0831,                 0.7055,                0.69569,                0.74233,                0.57242,                 0.8814,                 1.0726,                 1.1117,               0.005248,               0.005248,               0.005248
                     50,                0.84786,                0.77501,                 1.0869,                0.68662,                0.74152,                0.74966,                0.57972,                0.86337,                 1.0632,                 1.0926,               0.005149,               0.005149,               0.005149
                     51,                0.83111,                0.76767,                 1.0812,                0.71146,                0.72648,                0.76452,                0.58834,                0.84966,                 1.0218,                 1.0829,                0.00505,                0.00505,                0.00505
                     52,                0.82034,                0.73694,                 1.0793,                 0.7184,                0.72298,                0.74643,                0.58139,                0.85594,                 1.0119,                 1.0922,               0.004951,               0.004951,               0.004951
                     53,                0.82326,                0.74942,                 1.0617,                0.69732,                0.73334,                0.75223,                 0.5692,                 0.8721,                 1.0185,                 1.0992,               0.004852,               0.004852,               0.004852
                     54,                0.85398,                0.77297,                 1.1029,                0.69247,                0.64086,                0.70589,                0.54667,                0.86614,                 1.1933,                 1.0845,               0.004753,               0.004753,               0.004753
                     55,                0.81108,                0.71687,                 1.0718,                0.70163,                0.70744,                0.73389,                0.56344,                0.87142,                  1.139,                 1.0947,               0.004654,               0.004654,               0.004654
                     56,                0.82462,                0.74615,                 1.0731,                0.71401,                0.69051,                  0.761,                0.59592,                0.84599,                 1.0362,                 1.0737,               0.004555,               0.004555,               0.004555
                     57,                0.80036,                0.70636,                 1.0575,                0.69791,                0.67551,                0.73618,                0.57916,                0.85177,                 1.0816,                 1.0824,               0.004456,               0.004456,               0.004456
                     58,                0.79287,                0.70937,                 1.0537,                0.77392,                0.67606,                 0.7447,                0.58409,                0.82911,                 1.0468,                 1.0649,               0.004357,               0.004357,               0.004357
                     59,                0.77423,                0.69585,                 1.0488,                0.78048,                0.64199,                0.75298,                0.57975,                0.88854,                 1.1109,                 1.0939,               0.004258,               0.004258,               0.004258
                     60,                0.77072,                0.70608,                 1.0611,                0.79901,                0.65589,                 0.7621,                0.59253,                0.84628,                 1.0215,                 1.0824,               0.004159,               0.004159,               0.004159
